time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s),acc_Body_Y(m/s),acc_Body_Z(m/s),Isp(s),Mach number,attitude_azimth(deg),attitude_elevation(deg),attack of angle alpha(deg),attack of angle beta(deg),all attack of angle gamma(deg),dynamic pressure(Pa),airforce_Body_X[N],airforce_Body_Y[N],airforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
0,139000,1.43166e+06,31.250931,131.08244,200.4,-3586549.6,4113883.8,3289813.4,-299.98917,-261.53535,0,0,0,0,-1.1753205,-0.51923067,0.15911789,10.295896,-0.0038190834,-0.0038190834,209.11326,0.088358973,93.052582,83.125,83.125,-24.013012,83.134802,540.72202,-530.8526,-530.8526,-530.8526,1431660.4,0,0,0,0,30,90,nan,31.250931,131.08244,-0.65002894,-0.30029446,-0.69805846,0.5637045,0.42548317,-0.70795572,0.50960731,-0.8536904,-0.10729904,397,0,-0,0.0038190834,3.1959469,1,0,
1,137934.11,3408124.2,31.250931,131.08245,202.98578,-3586851.7,4113623.3,3289814.7,-305.87101,-258.0501,3.8103433,-0.12580397,2.142569,-7.5520251,-10.642417,7.4991054,7.4852622,24.703688,-0.0046607424,-0.0046607424,242.41218,0.097250972,93.07723,82.78689,69.549103,-7.9043403,69.574197,654.82747,-642.87537,-642.87537,-642.87537,3408124.2,0,0,0,0,30,90,0.91160746,31.250922,131.08261,-0.65419405,-0.29999393,-0.69428653,0.55949215,0.42573454,-0.71113897,0.50891913,-0.85367075,-0.11066875,400,4251095.7,9.440236,0.0046607424,3.2196519,1,0,
2,136501.14,3405327.1,31.250929,131.08249,217.93023,-3587163,4113369,3289822.3,-316.69104,-250.58952,11.339017,-0.31119884,5.3923634,-22.369604,-10.998507,7.421989,7.572681,24.93968,-0.0075626032,-0.0075626032,242.43898,0.12334482,93.11831,82.11066,49.789932,-3.4206829,49.825945,1051.4962,-1032.304,-1032.304,-1032.304,3405327.1,0,0,0,0,30,90,4.6657609,31.250902,131.08301,-0.66241264,-0.29947246,-0.68667732,0.55105338,0.42616783,-0.71744069,0.50749352,-0.85363764,-0.11727365,404,36143701,9.5398624,0.0075626032,3.2476646,1,0,
3,135066.16,3421248.6,31.250925,131.08256,247.7825,-3587485.4,4113122,3289837.4,-328.31555,-243.60056,18.906577,-0.55367358,9.5555898,-37.356203,-12.247174,6.5449785,7.5536989,25.317298,-0.012869307,-0.012869307,242.66787,0.16033953,93.373005,78.72951,35.341502,-2.2908643,35.384464,1770.5241,-1738.2079,-1738.2079,-1738.2079,3421248.6,0,0,0,0,30,90,12.027933,31.250865,131.08376,-0.70205484,-0.29607359,-0.64765688,0.50810033,0.42896438,-0.7468759,0.49895196,-0.85342251,-0.15072143,409,1.0042856e+08,9.5068206,0.012869307,3.2705115,1,0,
4,133633.86,3394911.7,31.250918,131.08269,292.63589,-3587819.9,4112881.5,3289860,-340.91951,-237.42908,26.390972,-0.88219032,14.991391,-52.32429,-12.956493,5.7945633,7.4112159,25.383741,-0.020835952,-0.020835952,242.60184,0.20347755,93.54554,76.3627,27.033637,-1.7727255,27.076251,2836.1551,-2784.3887,-2784.3887,-2784.3887,3394911.7,0,0,0,0,30,90,24.240465,31.250801,131.08501,-0.72844741,-0.29377871,-0.61891715,0.47707377,0.43084695,-0.76601013,0.49169603,-0.85326724,-0.17369523,416,1.9800204e+08,9.4329724,0.020835952,3.2879264,1,0,
5,132204.22,3412384.9,31.250909,131.08288,352.42425,-3588167.5,4112646.9,3289890.1,-354.34413,-231.93931,33.791423,-1.2965303,21.490781,-67.272009,-13.892517,5.1795775,7.3847787,25.779906,-0.031560363,-0.031560363,242.94145,0.24997452,93.898826,73.9959,21.410107,-1.603652,21.459663,4249.9852,-4172.4132,-4172.4132,-4172.4132,3412384.9,0,0,0,0,30,90,42.426915,31.250701,131.08689,-0.75391464,-0.28903853,-0.5899741,0.44571142,0.43471309,-0.78253808,0.48265312,-0.85292512,-0.19890879,424,3.2978726e+08,9.3466025,0.031560363,3.299835,1,0,
6,130769.92,3427031,31.250895,131.08315,427.21354,-3588528.9,4112417.4,3289927.6,-368.65722,-227.05616,41.174968,-1.7920427,29.055427,-82.320922,-14.733011,4.5814742,7.3799794,26.161264,-0.045306851,-0.045306851,243.30388,0.299213,93.907042,71.85451,17.502471,-1.3258179,17.546661,6034.9244,-5924.7731,-5924.7731,-5924.7731,3427031,0,0,0,0,30,90,67.670054,31.250556,131.08954,-0.77547814,-0.28896098,-0.56136904,0.41611953,0.43478077,-0.79863021,0.47484543,-0.8529169,-0.21692067,434,4.985056e+08,9.251935,0.045306851,3.3063184,1,0,
7,129339.61,3399379.2,31.250876,131.0835,517.05988,-3588905,4112192.6,3289972.5,-383.56318,-222.68877,48.519159,-2.3227728,37.402778,-97.352039,-15.077452,4.1524082,7.3082277,26.220551,-0.062032874,-0.062032874,243.37645,0.35007355,93.849531,70.61475,15.313516,-1.1074094,15.349831,8172.4742,-8023.3078,-8023.3078,-8023.3078,3399379.2,0,0,0,0,30,90,100.92967,31.250369,131.093,-0.78737769,-0.28977283,-0.54412138,0.39853596,0.43412576,-0.80790093,0.47032485,-0.85297511,-0.22633605,446,7.0372277e+08,9.1580125,0.062032874,3.3070824,1,0,
8,127917.99,3390385.3,31.250853,131.08393,621.91894,-3589296.1,4111972,3290024.7,-398.76816,-218.57752,55.862691,-2.8570004,46.140655,-112.38768,-15.333081,4.0701607,7.3796594,26.422758,-0.081609462,-0.081609462,243.64591,0.40184017,93.833099,70.16393,14.288093,-0.97517128,14.318661,10633.402,-10439.318,-10439.318,-10439.318,3390385.3,0,0,0,0,30,90,142.77682,31.250143,131.09727,-0.79163809,-0.2900297,-0.53776566,0.39206101,0.43392149,-0.81117218,0.4686121,-0.85299174,-0.22979944,458,9.4455364e+08,9.0750307,0.081609462,3.3019884,1,0,
9,126499.03,3396440.8,31.250825,131.08447,741.84234,-3589702.7,4111755.3,3290084.2,-414.52038,-214.91638,63.205487,-3.4037558,55.58354,-127.44258,-16.167873,3.2456813,7.3034029,26.745229,-0.10431081,-0.10431081,244.08108,0.45505216,93.676995,67.68443,11.580647,-0.79679982,11.606566,13440.537,-13195.217,-13195.217,-13195.217,3396440.8,0,0,0,0,30,90,193.65724,31.249875,131.10249,-0.81389001,-0.29217398,-0.50221253,0.35608631,0.43217908,-0.82850696,0.45911393,-0.85314454,-0.24770708,471,1.2234181e+09,8.9914817,0.10431081,3.2911576,1,0,
10,125080.07,3403171.8,31.250791,131.0851,876.8151,-3590125.4,4111542,3290151.1,-430.90462,-211.76336,70.557373,-3.9610534,65.833352,-142.53243,-16.60166,3.0595734,7.4011489,27.077617,-0.13032871,-0.13032871,244.5648,0.50992524,93.619484,66.89549,10.82717,-0.71197859,10.849461,16604.597,-16301.525,-16301.525,-16301.525,3403171.8,0,0,0,0,30,90,254.46398,31.249564,131.1088,-0.82064178,-0.29298633,-0.49061806,0.34440584,0.43152024,-0.83377149,0.45599527,-0.85319944,-0.25321734,485,1.5425633e+09,8.9048868,0.13032871,3.2746796,1,0,
11,123658.44,3424904.5,31.250753,131.08585,1026.9949,-3590564.7,4111331.7,3290225.4,-447.72853,-208.71968,78.071968,-4.4878955,76.482806,-157.88578,-17.047842,3.0275392,7.6298004,27.536786,-0.15970058,-0.15970058,245.20391,0.56638107,93.364789,66.44467,10.461464,-0.54127268,10.474846,20115.479,-19748.326,-19748.326,-19748.326,3424904.5,0,0,0,0,30,90,325.74637,31.249222,131.11616,-0.8239823,-0.29645739,-0.48287285,0.3370002,0.4286818,-0.83824983,0.45550416,-0.85343127,-0.25332001,500,1.9041966e+09,8.8271539,0.15970058,3.2526007,1,0,
12,122234.15,3432926.4,31.250711,131.08671,1192.6658,-3591021,4111124.5,3290307.3,-465.03645,-205.8626,85.745598,-4.9724783,87.615961,-173.47609,-17.568617,2.6847149,7.718122,27.892314,-0.19252484,-0.19252484,245.77824,0.62453667,93.192253,65.31762,9.4760564,-0.43913112,9.48586,23970.629,-23533.11,-23533.11,-23533.11,3432926.4,0,0,0,0,30,90,407.91345,31.248854,131.12467,-0.83297484,-0.29881767,-0.46568328,0.31983622,0.42674476,-0.84592772,0.45150605,-0.85357888,-0.25989493,515,2.3099343e+09,8.7545777,0.19252484,3.2248729,1,0,
13,120811.19,3434383.7,31.250664,131.08769,1373.9778,-3591494.9,4110919.9,3290396.9,-482.83838,-203.36824,93.506374,-5.4109862,99.356064,-189.15853,-18.03531,2.3021384,7.8043464,28.198966,-0.22873018,-0.22873018,246.34429,0.68429064,92.90469,64.19057,8.5791282,-0.29096777,8.5839151,28146.91,-27633.164,-27633.164,-27633.164,3434383.7,0,0,0,0,30,90,501.53031,31.248467,131.13445,-0.84134369,-0.30272105,-0.44777311,0.30213091,0.42352419,-0.85401649,0.44817151,-0.85380749,-0.26486802,532,2.7594395e+09,8.6824732,0.22873018,3.1914202,1,0,
14,119385.56,3465111.5,31.250613,131.0888,1571.0594,-3591986.8,4110717.7,3290494.3,-501.1498,-201.10235,101.43678,-5.7907847,111.62631,-205.07125,-18.589807,2.2289143,8.0582191,28.756089,-0.26845683,-0.26845683,247.15592,0.74591026,92.723944,63.62705,8.2785674,-0.21980485,8.2814046,32645.728,-32049.868,-32049.868,-32049.868,3465111.5,0,0,0,0,30,90,607.1718,31.248071,131.14556,-0.84530829,-0.30518511,-0.43853842,0.29304719,0.42148298,-0.85818147,0.44674069,-0.85394036,-0.26684942,549,3.2561328e+09,8.6134504,0.26845683,3.1524124,1,0,
15,117955.25,3478454.2,31.250559,131.09004,1784.2201,-3592497.4,4110517.6,3290599.8,-519.98838,-199.01666,109.58957,-6.0917943,124.40809,-221.28289,-19.088318,1.9407092,8.2490113,29.177819,-0.31178901,-0.31178901,247.87621,0.80959186,92.337793,62.72541,7.6530906,-0.045348478,7.6532218,37460.898,-36777.151,-36777.151,-36777.151,3478454.2,0,0,0,0,30,90,725.33483,31.247678,131.1581,-0.85118047,-0.3103957,-0.4232568,0.27813139,0.417139,-0.86523869,0.44512329,-0.85419527,-0.26872978,567,3.8029126e+09,8.5480445,0.31178901,3.107923,1,0,
