time[s],azimth[deg],elevation[deg],,,
202,95.928169,-7.377049,,,
203,95.689906,-7.038934,,,
204,95.353052,-6.700819,,,
205,95.402347,-6.47541,,,
206,95.657042,-6.362705,,,
207,95.862441,-6.25,,,
208,95.936385,-6.25,,,
209,95.919953,-6.813525,,,
210,95.903521,-7.377049,,,
211,95.895305,-7.602459,,,
212,95.772066,-7.264344,,,
213,95.566667,-7.602459,,,
214,95.509155,-7.602459,,,
215,95.369484,-7.377049,,,
216,95.21338,-7.715164,,,
217,95.238028,-7.151639,,,
218,96.412911,-6.926229,,,
219,96.445775,-6.926229,,,
220,96.347183,-6.926229,,,
221,95.533803,-7.151639,,,
222,95.583099,-6.926229,,,
223,95.591314,-6.926229,,,
224,95.615962,-6.926229,,,
225,95.632394,-6.926229,,,
226,95.632394,-6.926229,,,
227,95.632394,-6.926229,,,
228,95.624178,-6.926229,,,
229,95.624178,-6.926229,,,
230,95.615962,-6.926229,,,
231,95.591314,-6.926229,,,
232,95.574883,-6.926229,,,
233,95.591314,-6.926229,,,
234,95.591314,-6.926229,,,
235,95.64061,-6.926229,,,
236,95.64061,-6.926229,,,
237,95.632394,-6.926229,,,
238,95.632394,-6.926229,,,
239,95.632394,-6.926229,,,
240,95.624178,-6.926229,,,
241,95.624178,-6.926229,,,
242,95.64061,-6.926229,,,
243,95.64061,-6.926229,,,
244,95.64061,-6.926229,,,
245,95.648826,-6.926229,,,
246,95.632394,-6.926229,,,
247,95.632394,-6.926229,,,
248,95.624178,-6.926229,,,
249,95.657042,-6.926229,,,
250,95.615962,-6.813525,,,
251,95.615962,-7.038934,,,
252,95.64061,-6.926229,,,
253,95.632394,-6.926229,,,
254,95.64061,-6.926229,,,
255,95.665258,-6.926229,,,
256,95.648826,-6.926229,,,
257,95.632394,-6.926229,,,
258,95.657042,-6.926229,,,
259,95.665258,-6.926229,,,
260,95.632394,-6.926229,,,
261,95.673474,-6.926229,,,
262,95.657042,-6.926229,,,
263,95.657042,-6.926229,,,
264,95.632394,-6.926229,,,
265,95.64061,-6.926229,,,
266,95.64061,-6.926229,,,
267,95.64061,-6.926229,,,
268,95.632394,-6.926229,,,
269,95.64061,-6.926229,,,
270,95.64061,-6.926229,,,
271,95.64061,-6.926229,,,
272,95.673474,-6.926229,,,
