time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s),acc_Body_Y(m/s),acc_Body_Z(m/s),Isp(s),Mach number,attitude_azimth(deg),attitude_elevation(deg),attack of angle alpha(deg),attack of angle beta(deg),all attack of angle gamma(deg),dynamic pressure(Pa),airforce_Body_X[N],airforce_Body_Y[N],airforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
75,51900,283445,31.246949,131.48963,43635.221,-3662905.7,4096307.5,3311966.8,-1488.4443,-374.20781,417.93689,-12.64812,958.27172,-826.542,0.36579177,-6.8003675,-3.4396322,5.4255978,-0.035779763,-0.035779763,286.33186,3.9764926,92.9622,37.81762,-2.1088715,-1.7108294,2.7145893,1891.4938,-1856.9697,-1856.9697,-1856.9697,283445.5,0,0,0,0,30,90,38822.928,31.205448,133.6086,-0.95162298,-0.30678477,-0.017227969,-0.11931495,0.42061088,-0.89936112,0.28315657,-0.85379716,-0.43686699,1590,4.1561944e+10,6.323129,0.035779763,0.012743823,1,0,
76,51627.152,1251164,31.246833,131.49967,44460.644,-3664396.9,4095929.5,3312383.9,-1496.9932,-382.17061,417.11607,-13.401481,969.72332,-826.20407,-17.512506,-9.1630619,1.7904569,24.202163,-0.032449131,-0.032449131,286.86381,3.9854344,93.03615,37.47951,-2.1114555,-1.7494142,2.7410142,1706.402,-1675.2562,-1675.2562,-1675.2562,1251164,0,0,0,0,30,90,39779.99,31.203305,133.65006,-0.95199133,-0.30590402,-0.011629119,-0.12442464,0.42136675,-0.8983143,0.27969808,-0.85374047,-0.43919949,1600,4.1899463e+10,6.2768502,0.032449131,0.011505736,1,0,
77,51186.148,1230127.3,31.246708,131.50987,45289.48,-3665902.6,4095542.8,3312801.9,-1514.4166,-391.42382,418.81399,-14.577885,988.64564,-831.41925,-17.332612,-9.3425421,1.6052787,24.002461,-0.029963895,-0.029963895,286.87553,4.0228992,93.11831,36.91599,-2.3250724,-1.7819416,2.928193,1562.2511,-1533.7364,-1533.7364,-1533.7364,1230127.3,0,0,0,0,30,90,40753.268,31.199753,133.71815,-0.95237678,-0.30491502,-0.0023028276,-0.13300871,0.42221377,-0.89668512,0.27438505,-0.85367579,-0.44266295,1619,4.2712043e+10,6.2277115,0.029963895,0.010427558,1,0,
78,50753.889,1202052.3,31.246572,131.52028,46123.387,-3667425.6,4095146.7,3313221.5,-1531.5873,-400.78444,420.34464,-15.775651,1007.4461,-836.34746,-17.006984,-9.3780355,1.4557749,23.656289,-0.027655093,-0.027655093,286.88551,4.0593183,93.15939,36.69057,-2.2028943,-1.7826326,2.8327136,1429.6988,-1403.6035,-1403.6035,-1403.6035,1202052.3,0,0,0,0,30,90,41745.191,31.196102,133.78623,-0.95251933,-0.30447422,0.0015423494,-0.13653458,0.42259709,-0.89597434,0.27214929,-0.85364346,-0.44410315,1638,4.3513178e+10,6.1788189,0.027655093,0.0094521708,1,0,
79,50324.128,1216164.7,31.246426,131.53088,46962.185,-3668965.8,4094741.2,3313642.6,-1548.8255,-410.17452,421.87235,-16.99524,1026.3113,-841.30629,-17.470962,-9.4020603,1.6002276,24.141103,-0.025528701,-0.025528701,286.89825,4.0957533,93.184038,36.80328,-1.7506842,-1.7703282,2.4889876,1308.5944,-1284.7096,-1284.7096,-1284.7096,1216164.7,0,0,0,0,30,90,42755.662,31.192325,133.85526,-0.95259106,-0.30425359,-0.00017798103,-0.13487132,0.42279436,-0.89613317,0.27272698,-0.85362444,-0.44378521,1656,4.4320461e+10,6.1308551,0.025528701,0.0085708476,1,0,
80,49889.121,1231680.3,31.246268,131.54167,47806.071,-3670523.4,4094326.3,3314065.3,-1566.5443,-419.74315,423.47894,-18.252302,1045.6482,-846.47926,-17.967746,-9.7372335,1.6124476,24.664579,-0.023774873,-0.023774873,286.90968,4.150703,93.184038,36.12705,-2.0906048,-1.7393017,2.7185353,1208.1592,-1186.1075,-1186.1075,-1186.1075,1231680.3,0,0,0,0,30,90,43784.971,31.188361,133.92653,-0.95248926,-0.3043625,0.011299242,-0.1456866,0.42271309,-0.89447697,0.26746891,-0.85362586,-0.44697122,1676,4.5155653e+10,6.0831692,0.023774873,0.0077720847,1,0,
81,49448.616,1247190.7,31.246099,131.55267,48655.199,-3672099.1,4093901.6,3314489.6,-1584.7655,-429.56461,425.13905,-19.547795,1065.5224,-851.81909,-18.476527,-9.9066652,1.7079634,25.199803,-0.022149783,-0.022149783,286.91986,4.2081924,93.192253,35.90164,-1.9805681,-1.7140688,2.6183975,1115.6391,-1095.2761,-1095.2761,-1095.2761,1247190.7,0,0,0,0,30,90,44833.641,31.184201,134.00014,-0.95243377,-0.30436343,0.015258429,-0.14940706,0.4227231,-0.89385833,0.26560769,-0.85362057,-0.4480898,1696,4.6019749e+10,6.0353732,0.022149783,0.0070443502,1,0,
82,49003.364,1258477.3,31.245918,131.56387,49509.79,-3673693.1,4093467.1,3314915.6,-1603.4591,-439.53131,426.89897,-20.873638,1085.8395,-857.40172,-18.912228,-10.027331,1.8122276,25.660813,-0.0206335,-0.0206335,286.9287,4.2673379,93.175822,35.78893,-1.7632734,-1.6692221,2.4273278,1029.9091,-1011.1109,-1011.1109,-1011.1109,1258477.3,0,0,0,0,30,90,45902.154,31.179853,134.07607,-0.95229099,-0.30469375,0.017423937,-0.15151852,0.42245425,-0.89362998,0.26492265,-0.85363583,-0.44846612,1716,4.6911429e+10,5.9881705,0.0206335,0.006381481,1,0,
83,48554.615,1266948.5,31.245725,131.57529,50370.016,-3675306.1,4093022.4,3315343.4,-1622.5615,-449.81905,428.64936,-22.233781,1106.6692,-863.02289,-19.292327,-10.550522,1.68732,26.07405,-0.019215798,-0.019215798,286.93646,4.327932,93.184038,34.66188,-2.5585458,-1.6450523,3.0405869,950.36197,-933.01568,-933.01568,-933.01568,1266948.5,0,0,0,0,30,90,46990.951,31.175314,134.15413,-0.9517545,-0.30469752,0.036370181,-0.16927504,0.42246175,-0.89043362,0.25594791,-0.85363077,-0.45365756,1737,4.7826768e+10,5.9404846,0.019215798,0.0057777696,1,0,
84,48101.368,1283855.5,31.24552,131.58693,51235.88,-3676938.4,4092567.3,3315772.9,-1642.137,-460.37846,430.44171,-23.625939,1128.0261,-868.7781,-19.860725,-10.568083,1.8984393,26.672689,-0.017935005,-0.017935005,286.9438,4.3955591,93.151174,34.88729,-2.0015368,-1.5867167,2.5533756,878.73723,-862.69825,-862.69825,-862.69825,1283855.5,0,0,0,0,30,90,48100.58,31.170576,134.23459,-0.95170153,-0.30524908,0.032972679,-0.16623133,0.42200483,-0.89122335,0.25813048,-0.85365972,-0.4523646,1758,4.8769411e+10,5.8927299,0.017935005,0.0052280038,1,0,
