time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s),acc_Body_Y(m/s),acc_Body_Z(m/s),Isp(s),Mach number,attitude_azimth(deg),attitude_elevation(deg),attack of angle alpha(deg),attack of angle beta(deg),all attack of angle gamma(deg),dynamic pressure(Pa),airforce_Body_X[N],airforce_Body_Y[N],airforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
223,13190.471,277181.7,31.034891,135.41666,200042.29,-4081838.9,3894103,3372342.5,-3220.5419,-2190.3729,138.37487,-303.30056,3396.5162,-772.47858,-7.7968577,-21.255237,-7.8055644,21.013784,-1.7994495e-12,-1.8016699e-12,302,12.862427,95.591314,-6.926229,-19.583329,-0.55189259,19.58996,3.1201895e-08,-2.3721722e-08,-2.3721722e-08,-2.3721722e-08,277181.7,0,0,0,0,30,90,414309.81,29.819898,145.73117,-0.64329062,-0.30400405,0.70267967,-0.75175682,0.42468029,-0.50448818,-0.14504776,-0.85277675,-0.50172997,3897,8.0626996e+10,2.0387625,1.7983984e-12,5.5596196e-14,1,0,
224,13096.698,278254.7,31.032224,135.45125,200810,-4085063.4,3891902,3372477,-3228.408,-2211.7155,130.5494,-306.64508,3416.7805,-762.93182,-7.9356592,-21.430453,-7.8454937,21.246172,-1.5911716e-12,-1.5865087e-12,302,12.927798,95.615962,-6.926229,-19.360146,-0.55064865,19.366848,2.7394132e-08,-2.0826811e-08,-2.0826811e-08,-2.0826811e-08,278254.7,0,0,0,0,30,90,417628.26,29.808985,145.79195,-0.64290671,-0.30395164,0.7030536,-0.75201533,0.42474213,-0.50405067,-0.14540945,-0.85276464,-0.50164586,3915,8.0875285e+10,2.002853,1.5902337e-12,4.8665019e-14,1,0,
225,13002.804,277897,31.029529,135.48605,201568.16,-4088295.8,3889679.6,3372603.6,-3236.3782,-2233.1941,122.69294,-310.02857,3437.2231,-753.38934,-8.004846,-21.527021,-7.8674853,21.372082,-1.408651e-12,-1.413758e-12,302,12.994014,95.632394,-6.926229,-19.138645,-0.54082968,19.145209,2.4094949e-08,-1.8318556e-08,-1.8318556e-08,-1.8318556e-08,277897,0,0,0,0,30,90,420966.29,29.797984,145.85305,-0.64247662,-0.30400421,0.70342393,-0.75233633,0.4247044,-0.50360324,-0.14564973,-0.85276469,-0.50157606,3933,8.11259e+10,1.9672063,1.4088158e-12,4.2674906e-14,1,0,
226,12909.636,273962.8,31.026804,135.52105,202316.79,-4091536.1,3887435.6,3372722.4,-3244.3281,-2254.667,114.83711,-313.42811,3457.6557,-743.87442,-7.8945182,-21.418229,-7.8440689,21.221575,-1.249667e-12,-1.2481127e-12,302,13.060416,95.632394,-6.926229,-18.919823,-0.51406049,18.925842,2.1229545e-08,-1.6140089e-08,-1.6140089e-08,-1.6140089e-08,273962.8,0,0,0,0,30,90,424324,29.786979,145.91405,-0.641957,-0.30426515,0.70378543,-0.75278025,0.42446848,-0.50313856,-0.1456472,-0.85278909,-0.50153531,3952,8.1375691e+10,1.9319844,1.2502358e-12,3.7487196e-14,1,0,
227,12817.795,270028.6,31.024049,135.55625,203055.92,-4094784.4,3885170.3,3372833.3,-3252.1663,-2276.0294,107.00501,-316.82699,3477.9396,-734.40402,-7.7814452,-21.306048,-7.8200265,21.066697,-1.1097789e-12,-1.1088908e-12,302,13.126512,95.632394,-6.926229,-18.704394,-0.48741901,18.709887,1.8735533e-08,-1.4243978e-08,-1.4243978e-08,-1.4243978e-08,270028.6,0,0,0,0,30,90,427701.3,29.776033,145.97462,-0.64143437,-0.30452708,0.70414857,-0.75322612,0.42423104,-0.50267131,-0.14564465,-0.85281374,-0.50149412,3970,8.1622388e+10,1.8972971,1.1112658e-12,3.2985595e-14,1,0,
228,12727.102,267167.4,31.021265,135.59166,203785.61,-4098040.4,3882883.6,3372936.4,-3259.9166,-2297.3104,99.192403,-320.22735,3498.1121,-724.97352,-7.7189199,-21.255469,-7.8051249,20.992006,-9.8854258e-13,-9.9276143e-13,302,13.192428,95.624178,-6.926229,-18.492087,-0.45243222,18.49689,1.6561797e-08,-1.2591361e-08,-1.2591361e-08,-1.2591361e-08,267167.4,0,0,0,0,30,90,431098.05,29.765136,146.03486,-0.64086534,-0.30489341,0.70450807,-0.75373427,0.42389346,-0.50219418,-0.14552067,-0.85285072,-0.50146724,3989,8.1866576e+10,1.863104,9.8933454e-13,2.9073597e-14,1,0,
229,12637.616,262875.5,31.018452,135.62726,204505.88,-4101304.2,3880575.7,3373031.7,-3267.5678,-2318.4964,91.401847,-323.6275,3518.1558,-715.58504,-7.5828315,-21.11589,-7.77587,20.801036,-8.8196117e-13,-8.8218322e-13,302,13.258096,95.624178,-6.926229,-18.282956,-0.42607557,18.287278,1.4664182e-08,-1.114867e-08,-1.114867e-08,-1.114867e-08,262875.5,0,0,0,0,30,90,434514.15,29.754293,146.09473,-0.64033669,-0.30515722,0.70487445,-0.75418395,0.42365289,-0.50172184,-0.14551805,-0.8528759,-0.50142517,4007,8.2107964e+10,1.8294106,8.8218143e-13,2.5668507e-14,1,0,
230,12549.096,261444.9,31.015609,135.66306,205216.79,-4104575.6,3878246.6,3373119.2,-3275.1537,-2339.6275,83.625583,-327.0326,3538.1233,-706.23211,-7.5890678,-21.146242,-7.776648,20.833763,-7.8781426e-13,-7.8737017e-13,302,13.323697,95.615962,-6.926229,-18.076656,-0.39136662,18.080356,1.3005468e-08,-9.8876074e-09,-9.8876074e-09,-9.8876074e-09,261444.9,0,0,0,0,30,90,437949.48,29.743484,146.15435,-0.63976157,-0.30552526,0.70523716,-0.75469578,0.42331204,-0.50123966,-0.145394,-0.85291338,-0.5013974,4025,8.2347362e+10,1.7961667,7.8791389e-13,2.2700441e-14,1,0,
231,12460.818,261444.9,31.012737,135.69906,205918.35,-4107854.5,3875896.4,3373198.9,-3282.7816,-2360.8334,75.842767,-330.45477,3558.1823,-696.89442,-7.666763,-21.265937,-7.789019,20.981359,-7.0610184e-13,-7.0410344e-13,302,13.389814,95.591314,-6.926229,-17.872323,-0.33989146,17.875155,1.1554419e-08,-8.7844256e-09,-8.7844256e-09,-8.7844256e-09,261444.9,0,0,0,0,30,90,441404.05,29.732654,146.21412,-0.63909626,-0.30610048,0.70559086,-0.75532981,0.42277181,-0.50074033,-0.14502708,-0.85297508,-0.5013987,4044,8.2587337e+10,1.7632358,7.0496377e-13,2.0110494e-14,1,0,
232,12372.42,262160.2,31.009835,135.73525,206610.58,-4111141.2,3873524.9,3373270.9,-3290.5065,-2382.1811,68.042011,-333.9011,3578.4197,-687.56165,-7.7834687,-21.430029,-7.8125617,21.189081,-6.3193895e-13,-6.3304917e-13,302,13.45675,95.574883,-6.926229,-17.669571,-0.29710259,17.671766,1.0283543e-08,-7.8182222e-09,-7.8182222e-09,-7.8182222e-09,262160.2,0,0,0,0,30,90,444878.02,29.721774,146.27423,-0.63847124,-0.30657307,0.70595144,-0.75590527,0.4223285,-0.50024579,-0.14478153,-0.85302496,-0.5013848,4062,8.2829133e+10,1.7305517,6.3190729e-13,1.7847527e-14,1,0,
233,12283.417,265021.5,31.006904,135.77165,207293.47,-4114435.6,3871132,3373335,-3298.4067,-2403.7579,60.199669,-337.39078,3598.9524,-678.21982,-8.0175944,-21.724428,-7.8723263,21.575552,-5.6976646e-13,-5.6554761e-13,302,13.524918,95.591314,-6.926229,-17.467879,-0.28825489,17.469975,9.1692953e-09,-6.9710982e-09,-6.9710982e-09,-6.9710982e-09,265021.5,0,0,0,0,30,90,448371.59,29.710779,146.33493,-0.63801767,-0.30663425,0.70633483,-0.75624214,0.42227939,-0.49977789,-0.14502163,-0.85302729,-0.50131146,4081,8.3074427e+10,1.6980293,5.6752108e-13,1.5867838e-14,1,0,
234,12193.448,267882.7,31.003941,135.80826,207967.01,-4117738,3868717.3,3373391.3,-3306.5422,-2425.6333,52.299586,-340.93622,3619.8724,-668.85821,-8.2540521,-22.027346,-7.928022,21.969396,-5.062617e-13,-5.1736393e-13,302,13.594644,95.591314,-6.926229,-17.26682,-0.26246544,17.268583,8.191224e-09,-6.2275044e-09,-6.2275044e-09,-6.2275044e-09,267882.7,0,0,0,0,30,90,451885.12,29.699627,146.39645,-0.63747376,-0.3069026,0.70670927,-0.75670122,0.42203083,-0.49929274,-0.14501886,-0.85305379,-0.50126715,4101,8.3324449e+10,1.6656078,5.1072544e-13,1.4133732e-14,1,0,
235,12102.635,270028.6,31.000948,135.84507,208631.18,-4121048.8,3866280.6,3373439.6,-3314.9003,-2447.7882,44.339451,-344.54205,3641.1572,-659.48006,-8.4629039,-22.283489,-7.9924854,22.311555,-4.6318505e-13,-4.6118664e-13,302,13.665852,95.64061,-6.926229,-17.066611,-0.28733851,17.068755,7.3312269e-09,-5.5736783e-09,-5.5736783e-09,-5.5736783e-09,270028.6,0,0,0,0,30,90,455418.98,29.688311,146.4587,-0.63718879,-0.30655448,0.70711724,-0.75680179,0.42237544,-0.49884872,-0.14574465,-0.8530084,-0.50113388,4120,8.3578672e+10,1.633314,4.6053429e-13,1.2612279e-14,1,0,
236,12010.855,273605.2,30.997923,135.8821,209285.97,-4124367.9,3863821.6,3373479.9,-3323.5042,-2470.251,36.313658,-348.21249,3662.8434,-650.08148,-8.7458103,-22.643414,-8.0593302,22.779828,-4.196643e-13,-4.1033843e-13,302,13.738673,95.64061,-6.926229,-16.867066,-0.2613268,16.868866,6.5739722e-09,-4.9979637e-09,-4.9979637e-09,-4.9979637e-09,273605.2,0,0,0,0,30,90,458973.54,29.676816,146.52178,-0.63663875,-0.3068253,0.70749512,-0.75726509,0.42212408,-0.49835815,-0.14574184,-0.85303546,-0.50108864,4141,8.3837443e+10,1.6011313,4.1612057e-13,1.127547e-14,1,0,
237,11917.988,276466.4,30.994867,135.91934,209931.34,-4127695.9,3861340,3373512.2,-3332.3741,-2493.0555,28.226099,-351.94063,3684.9694,-640.65854,-8.9948301,-22.966796,-8.1159765,23.197406,-3.7481129e-13,-3.7747583e-13,302,13.81324,95.632394,-6.926229,-16.668125,-0.22693807,16.669503,5.9062442e-09,-4.4903133e-09,-4.4903133e-09,-4.4903133e-09,276466.4,0,0,0,0,30,90,462549.22,29.665157,146.58576,-0.63604172,-0.30719994,0.70786943,-0.75779051,0.42177181,-0.4978575,-0.14561757,-0.85307487,-0.50105766,4161,8.4101098e+10,1.5690442,3.7676774e-13,1.0099215e-14,1,0,
238,11823.973,280400.6,30.991778,135.95681,210567.28,-4131032.8,3858835.4,3373536.3,-3341.5248,-2516.2206,20.073293,-355.72921,3707.5593,-631.20901,-9.3075619,-23.364763,-8.1898988,23.714583,-3.4505732e-13,-3.3684167e-13,302,13.889641,95.632394,-6.926229,-16.469768,-0.20108237,16.470866,5.3165886e-09,-4.0420185e-09,-4.0420185e-09,-4.0420185e-09,280400.6,0,0,0,0,30,90,466146.46,29.653324,146.65069,-0.63548504,-0.3074728,0.70825083,-0.75825795,0.42151702,-0.49736132,-0.1456147,-0.8531025,-0.50101145,4183,8.4369747e+10,1.5370481,3.4184943e-13,9.0627057e-15,1,0,
239,11728.751,283619.5,30.988655,135.9945,211193.75,-4134379,3856307.4,3373552.3,-3350.972,-2539.7649,11.850206,-359.58272,3730.6373,-621.73063,-9.5877252,-23.725171,-8.2565173,24.181559,-3.0953018e-13,-3.1374903e-13,302,13.967963,95.632394,-6.926229,-16.271962,-0.17527789,16.272808,4.7951156e-09,-3.6455606e-09,-3.6455606e-09,-3.6455606e-09,283619.5,0,0,0,0,30,90,469765.73,29.641305,146.71661,-0.63492495,-0.30774675,0.70863407,-0.75872756,0.4212605,-0.49686223,-0.14561181,-0.85313043,-0.50096475,4204,8.4643489e+10,1.5051388,3.1082257e-13,8.1480079e-15,1,0,
240,11632.201,288269,30.9855,136.03242,211810.73,-4137734.8,3853755.7,3373560,-3360.7406,-2563.721,3.5523143,-363.50393,3754.2446,-612.21918,-9.9508095,-24.188862,-8.3395634,24.781982,-2.8466118e-13,-2.8532732e-13,302,14.048354,95.624178,-6.926229,-16.074613,-0.14111057,16.07517,4.3333039e-09,-3.2944611e-09,-3.2944611e-09,-3.2944611e-09,288269,0,0,0,0,30,90,473407.51,29.62909,146.78361,-0.63431753,-0.30812439,0.70901384,-0.7592593,0.42090273,-0.49635291,-0.14548743,-0.8531707,-0.50093229,4226,8.492263e+10,1.4733025,2.8321907e-13,7.3396722e-15,1,0,
