time[s],thrust vac[N],nozzle_exhaust_pressure[Pa]
0,284106.9,754929.6
1,1251758,4923944
2,1230661,5447888
3,1202532,5301409
4,1216596,5335212
5,1232068,5414085
6,1247539,5453521
7,1258790,5504226
8,1267229,5554930
9,1284107,5594366
10,1295359,5628169
11,1303798,5678873
12,1302391,5661972
13,1281294,5583099
14,1275668,5532395
15,1258790,5447888
16,1250352,5391550
17,1233474,5329578
18,1225035,5278873
19,1210971,5216902
20,1199719,5160564
21,1189873,5098592
22,1181435,5042254
23,1168776,5002817
24,1160338,4952113
25,1147679,4895775
26,1142054,4845071
27,1139241,4828169
28,1133615,4822535
29,1136428,4816902
30,1140647,4833803
31,1147679,4861972
32,1156118,4884507
33,1163151,4918310
34,1177215,4963381
35,1185654,5002817
36,1196906,5030986
37,1208158,5070423
38,1222222,5109859
39,1233474,5177465
40,1241913,5205634
41,1254571,5239437
42,1264416,5290141
43,1275668,5335212
44,1289733,5369014
45,1300985,5419719
46,1313643,5470423
47,1329114,5504226
48,1337553,5538028
49,1340366,5554930
50,1340366,5538028
51,1337553,5526761
52,1334740,5509859
53,1326301,5470423
54,1315049,5442254
55,1309423,5391550
56,1303798,5374648
57,1298172,5329578
58,1288326,5290141
59,1282700,5256338
60,1271449,5200000
61,1258790,5143662
62,1247539,5087324
63,1230661,5019719
64,1206751,4923944
65,1185654,4861972
66,1158931,4721127
67,1118144,4591550
68,1063291,4411268
69,974683.6,4107042
70,649789,3014085
71,500703.3,2157747
72,376933.9,1639437
73,308016.9,1318310
74,243319.3,1064789
75,205344.6,884507.1
76,164557,721126.8
77,140647,597183.1
78,113924,507042.3
79,92827.01,416901.4
80,82981.72,343662
81,70323.48,309859.2
82,59071.73,247887.3
83,46413.5,208450.7
84,40787.63,163380.3
85,29535.87,129577.5
86,26722.93,129577.5
87,21097.05,95774.65
88,18284.11,90140.84
89,15471.17,73239.44
90,11251.76,50704.23
91,9845.288,50704.23
92,5625.879,39436.62
93,2812.939,33802.82
94,1406.47,22535.21
95,1406.47,16901.41
96,1406.47,5633.803
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
