time[s],PITCH[deg],YAW[deg],ROLL[deg]
162,17.86885,0.1361502,-0.5165289
163,17.86885,3.76E-02,-0.6818182
164,17.64344,2.93E-02,-0.6818182
165,17.86885,2.93E-02,-0.5371901
166,17.53074,4.69E-03,-0.5371901
167,17.64344,-3.52E-03,-0.6404959
168,17.41803,0.0129108,-0.7231405
169,17.53074,4.58E-02,-0.7024794
170,17.75615,5.40E-02,-0.5578513
171,16.85451,0.2676056,-0.3719008
172,16.40369,0.2922535,-0.3099174
173,15.16393,0.5633803,-0.268595
174,13.13525,0.8180751,-0.1652893
175,11.33197,1.089202,-0.2272727
176,9.528688,1.335681,-0.3719008
177,7.27459,1.549296,-0.6198347
178,4.231557,1.664319,-0.5785124
179,3.780738,1.910798,8.26E-02
180,1.752049,1.984742,0.5165289
181,0.3995902,2.149061,1.012397
182,-2.079918,2.321596,1.590909
183,-3.206967,2.469484,1.838843
184,-4.897541,2.724178,2.024793
185,-5.573771,2.86385,1.797521
186,-6.926229,3.028169,1.694215
187,-7.602459,3.069249,1.549587
188,-8.504098,3.20892,1.322314
189,-9.067623,3.356807,1.446281
190,-10.19467,3.397887,1.446281
191,-10.30738,3.480047,1.404959
192,-10.30738,3.545775,1.42562
193,-10.42008,3.553991,1.404959
194,-10.42008,3.570423,1.301653
195,-9.856558,3.545775,1.260331
196,-9.743853,3.397887,1.115703
197,-9.293033,3.365023,1.07438
198,-8.954918,3.258216,1.053719
199,-8.391394,3.274648,0.9710744
200,-8.053279,3.241784,0.9917355
201,-8.053279,3.20892,1.012397
202,-7.377049,3.028169,0.9917355
203,-7.038934,2.789906,0.5578513
204,-6.700819,2.453052,0.4958678
205,-6.47541,2.502347,-0.392562
206,-6.362705,2.757042,-0.661157
207,-6.25,2.962441,-1.136364
208,-6.25,3.036385,-1.07438
209,-6.813525,3.019953,-0.7231405
210,-7.377049,3.003521,-0.5991735
211,-7.602459,2.995305,-0.268595
212,-7.264344,2.872066,0.3719008
213,-7.602459,2.666667,0.9297521
214,-7.602459,2.609155,1.735537
215,-7.377049,2.469484,2.293388
216,-7.715164,2.31338,2.747934
217,-7.151639,2.338028,2.830579
218,-6.926229,3.512911,2.561984
219,-6.926229,3.545775,1.694215
220,-6.926229,3.447183,0.8884298
221,-7.151639,2.633803,-0.2272727
222,-6.926229,2.683099,-0.7851239
223,-6.926229,2.691314,-0.3719008
224,-6.926229,2.715962,-0.268595
225,-6.926229,2.732394,-2.07E-02
226,-6.926229,2.732394,0.3512397
227,-6.926229,2.732394,0.4958678
228,-6.926229,2.724178,0.7438017
229,-6.926229,2.724178,0.9297521
230,-6.926229,2.715962,1.033058
231,-6.926229,2.691314,1.136364
232,-6.926229,2.674883,1.136364
233,-6.926229,2.691314,1.136364
234,-6.926229,2.691314,1.095041
235,-6.926229,2.74061,1.115703
236,-6.926229,2.74061,1.136364
237,-6.926229,2.732394,1.115703
238,-6.926229,2.732394,1.07438
239,-6.926229,2.732394,1.115703
240,-6.926229,2.724178,1.033058
241,-6.926229,2.724178,0.9504132
242,-6.926229,2.74061,0.8264463
243,-6.926229,2.74061,0.8677686
244,-6.926229,2.74061,0.8057851
245,-6.926229,2.748826,0.7231405
246,-6.926229,2.732394,0.5991735
247,-6.926229,2.732394,0.5371901
