event,time,mass,thrust,lat,lon,alt,x(ECI),y(ECI),z(ECI),vx(ECI),vy(ECI),vz(ECI),vx(NED),vy(NED),vz(NED),ax(ECI),ay(ECI),az(ECI),ax(BODY),ay(BODY),az(BODY),Isp,Mach,YAW,PITCH,aoa(alpha),aoa(beta),aoa(gamma),Q,airforce_x(BODY),airforce_y(BODY),airforce_z(BODY),thrust_x(BODY),thrust_y(BODY),thrust_z(BODY),gimbal_pitch,gimbal_yaw,wind_speed,wind_direction,downrange,latIIP,lonIIP,dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial_velocity,kinematic_energy(NED),loss_gravity,loss_aerodynamics,loss_thrust,flight_mode,separated
LiftOff,0.0,139000.0,1431660.4934133627,31.25093099999824,131.08243800000002,200.39999988116324,-3586549.570227635,4113883.764897341,3289813.388642865,-299.9891721275976,-261.53535147195106,0.0,0.0,0.0,0.0,-1.1753245059871409,-0.5192262653208584,0.1591214761759039,10.295896697431724,-0.0038190825205255408,-0.003819082520525874,209.11328031083872,0.0883589725760902,93.0525822,83.125,83.12500000000001,-24.013011506731033,83.13480203646257,540.7218861390563,-530.8524703530238,-530.8524703530238,-530.8524703530238,1431660.4934133627,0.0,0.0,,,30.0,90.0,0.0,31.250930999998232,131.08243800000002,-0.6500289428715506,-0.3002944572379534,-0.6980584591432564,0.5637045011917229,0.4254831746595566,-0.7079557213680925,0.5096073083909662,-0.8536904046747793,-0.10729904100562321,397.98774285567936,0.0,-0.0,0.0038190825205253512,3.195946090551347,FlightMode.Power_3DOF,
,1.0,137811.5288172236,3408373.144408136,31.25093018431019,131.08245452844938,207.69164277240634,-3586852.506748209,4113623.9545765854,3289815.287133001,-307.4703640968093,-256.7573477355399,5.016741499249181,-0.12591681940125676,2.150226299586693,-7.572435425974433,-10.694294966078102,7.44842755543015,7.477688837035212,24.705491640564475,-0.00466204928259728,-0.004662049282595504,242.4298902576354,0.09729188146750943,93.08544605,82.61783,69.34849046798078,-7.85268099608339,69.37399026641029,655.0110911877875,-643.0556350298086,-643.0556350298086,-643.0556350298086,3408373.144408136,0.0,0.0,,,30.0,90.0,1.5732191986148747,31.250921864153984,131.08261990553046,-0.6562453887492453,-0.29988342921867545,-0.692395781779034,0.5573991601828602,0.4258255895206647,-0.7127262753237182,0.5085746414960091,-0.8536641588994035,-0.11229130793511927,400.2100929621739,4274654.48796772,9.439609399162075,0.004662049282596398,3.21784687073915,FlightMode.Power_3DOF,
,2.0,136378.77816486883,3405511.9207332055,31.250928041765793,131.08249688432852,221.42808174807578,-3587165.488748326,4113370.8078731955,3289824.041995349,-318.6199247811522,-249.61967592379972,12.49426549702131,-0.34421453885232545,5.967654287138312,-24.720202998421918,-11.465099773107056,6.958142589413107,7.495993863386744,24.962800157254584,-0.008221891339998066,-0.008221891339993403,242.45213728416016,0.1285779813910774,93.2333334,80.58914,46.06063590835081,-3.186898375001396,46.101784134419816,1142.136274952297,-1121.2896658714214,-1121.2896658714214,-1121.2896658714214,3405511.9207332055,0.0,0.0,,,30.0,90.0,5.62113296981297,31.25089793224456,131.08310446849228,-0.6805101708375164,-0.2979239162935501,-0.6694380086961063,0.5319492954215255,0.427441729535621,-0.7309743599827148,0.5039204842901674,-0.8535425636439643,-0.13239802702779338,404.71253862399084,44106176.254902504,9.539082588503678,0.008221891339998063,3.249228422102835,FlightMode.Power_3DOF,
,3.0,134942.91291215405,3421552.195639464,31.250923460821888,131.0825875369141,253.54690004512668,-3587490.1034934404,4113124.4663499123,3289840.270492398,-330.79087796324535,-243.18579177131934,19.961981561292237,-0.6444317639607533,10.974209995119672,-39.58316000694199,-12.552843786877936,6.2235840174287365,7.491527120975527,25.341269740359724,-0.014116164521803753,-0.01411616452180553,242.68940839651762,0.16790896189039947,93.4469484,77.71516,33.679701487387234,-2.199806424420822,33.72356734697475,1940.303922666708,-1904.8889216191214,-1904.8889216191214,-1904.8889216191214,3421552.195639464,0.0,0.0,,,30.0,90.0,14.273027947864508,31.250852062560945,131.08400263072664,-0.713491548203519,-0.29507670939369435,-0.6354994462747664,0.4949165123688889,0.42978103216187685,-0.7552124933940693,0.4959712254019994,-0.8533569006970418,-0.16060679813126855,410.87693602359684,113870650.20517308,9.456009317914392,0.01411616452180402,3.271226949135501,FlightMode.Power_3DOF,
,4.0,133512.38702750774,3395321.540561303,31.25091587678774,131.0827346950233,300.4513615332544,-3587827.329744346,4112884.192741636,3289863.9263979476,-343.77848763726684,-237.48726876172918,27.322836218750513,-1.0211901542535742,17.02401505010377,-54.455746610144,-13.254058171728088,5.46859640863303,7.3296808053008125,25.408444754448112,-0.022654772384587574,-0.022654772384588018,242.6311265224584,0.21217388932035625,93.7098592,75.348355,26.140281864860054,-1.795005609706798,26.18641935378943,3080.8856540481233,-3024.652417908678,-3024.652417908678,-3024.652417908678,3395321.540561303,0.0,0.0,,,30.0,90.0,28.32001888215857,31.250776307770487,131.08544241626637,-0.7395024527702304,-0.2915602770279532,-0.6067361265049218,0.46375119568205964,0.43265725943797184,-0.7731381017380295,0.48792514881923577,-0.8531121266955516,-0.18473967747812017,418.5767075832662,217374511.24226716,9.365215067718779,0.022654772384589697,3.2878920148695006,FlightMode.Power_3DOF,
,5.0,132081.86114286142,3412899.9575456693,31.250904490655603,131.08295141262437,362.3049119990319,-3588177.9421582436,4112649.279255925,3289894.89779073,-357.5951622804515,-232.43906939163617,34.61808436313509,-1.4922818027297708,24.109732394879043,-69.23640150335461,-14.14672059432646,4.872252635015955,7.318358471489026,25.805147776125352,-0.03395635167769129,-0.03395635167768907,242.9781214407889,0.25932368378465853,93.89061025000001,73.09426,21.090601282045967,-1.5251967740838561,21.136373543418856,4568.4327301064095,-4485.048344787956,-4485.048344787956,-4485.048344787956,3412899.9575456693,0.0,0.0,,,30.0,90.0,49.009891503245434,31.250659667511155,131.08755393174133,-0.763093579144451,-0.2891501387584908,-0.5779968743206637,0.43332324851963855,0.4346224517905923,-0.7895152225840372,0.4794988548066608,-0.8529334802055081,-0.20636212487668612,427.75086142616675,355116719.8567096,9.265823200259554,0.033956351677693716,3.2989700701379934,FlightMode.Power_3DOF,
,6.0,130646.88559874514,3427640.0778073007,31.25088871056467,131.08324676929982,438.9828452663496,-3588542.776265055,4112419.1478372775,3289933.169295899,-372.19265020861127,-227.89812800576945,41.93115441290595,-2.0178084281831516,32.17820940681408,-84.17658714346487,-14.864358261105291,4.426166968875083,7.355849832273474,26.187442440416568,-0.04833463585643294,-0.0483346358564285,243.3471182083839,0.3091224641157647,93.86596235,71.403685,17.853234598235485,-1.2531822819223413,17.89174476558571,6432.204400046411,-6314.801902991798,-6314.801902991798,-6314.801902991798,3427640.0778073007,0.0,0.0,,,30.0,90.0,77.20980118191896,31.250499795376726,131.09046212413753,-0.7798057712620445,-0.28951723161534154,-0.5550520081075255,0.4097221091696419,0.43432887768828427,-0.8021759278759337,0.4733188696470783,-0.8529584975857993,-0.2200705546686973,438.3440027540123,530769175.95198655,9.16411819508668,0.048334635856428845,3.304753223917494,FlightMode.Power_3DOF,
,7.0,129218.5844818073,3400072.505784433,31.25086813856002,131.08362874785155,530.5743644898757,-3588922.4472513404,4112193.3750128117,3289978.7544546174,-387.1900414061925,-223.69484891212434,49.233436973151676,-2.55594615172523,40.77722614672576,-99.1647901481065,-15.108718408103277,4.142254980913316,7.321582516100709,26.247321625090116,-0.06565190695831191,-0.06565190695831147,243.4260854870703,0.36026129102078464,93.82899065000001,70.55839499999999,16.079973267233363,-1.0649049600373022,16.111640097753476,8641.033731488593,-8483.315028208175,-8483.315028208175,-8483.315028208175,3400072.505784433,0.0,0.0,,,30.0,90.0,113.68252436608311,31.25030016577161,131.09416798422907,-0.7878788751417819,-0.2900514336443251,-0.5432467615607035,0.3976875560191903,0.4338991845651653,-0.8084405391994935,0.47020366426986043,-0.8529956995639288,-0.22651015569426491,449.859067640472,743187275.1612535,9.073118389273528,0.06565190695831086,3.304866040712637,FlightMode.Power_3DOF,
,8.0,127797.84762469944,3391158.843989148,31.250842615474188,131.08410497503533,637.1539989141747,-3589317.2869727467,4111971.63986598,3290031.6317976117,-402.573004055963,-219.85348221802394,56.51675775758761,-3.0908128282197467,49.67319951435243,-114.12917723180449,-15.610088093206429,3.673879081578634,7.2944343313428375,26.449768831952216,-0.08575207734181234,-0.08575207734181323,243.70149968514392,0.4120955350947114,93.74272305000001,69.09323499999999,14.022743158083182,-0.8978374247920962,14.049231460239902,11162.59763675345,-10958.854603313572,-10958.854603313572,-10958.854603313572,3391158.843989148,0.0,0.0,,,30.0,90.0,159.15495066932868,31.250063229529566,131.09866918880252,-0.8013861788311115,-0.2912521728860272,-0.5224484320654407,0.3765886384949435,0.4329262239821746,-0.8189968754183745,0.4647162464719674,-0.8530809201814935,-0.23725883310701393,462.0173715516678,990582907.8360833,8.994687682347687,0.08575207734181592,3.2990625402955898,FlightMode.Power_3DOF,
,9.0,126378.89055694775,3397285.775578325,31.250812190665577,131.08467929033503,758.6816521342844,-3589727.8095140974,4111753.4730919106,3290091.7792793093,-418.5766326723408,-216.56452955392922,63.77940177496999,-3.65204488708342,59.664793302961755,-128.98535593437668,-16.237227605192903,3.167038502990727,7.301559833072696,26.772593115725147,-0.10915715606940957,-0.10915715606940646,244.14180416082405,0.46575495862101934,93.63591555,67.459015,12.279603174361549,-0.7618524145415435,12.301801110140422,14051.634875975742,-13795.1602804036,-13795.1602804036,-13795.1602804036,3397285.775578325,0.0,0.0,,,30.0,90.0,213.9924060439721,31.249781164899524,131.10425722353042,-0.8157805197960908,-0.29273007128742806,-0.49880983238632876,0.3527023451204817,0.4317251541931154,-0.8301894042828077,0.4583701552978035,-0.8531837414068484,-0.2489463880663455,475.5299324513026,1277086937.1144521,8.902775811646064,0.10915715606940975,3.287599872024937,FlightMode.Power_3DOF,
